paper_id,mfn_authors,unknown_authors,publication_date,year,title,journal,volume,issue,page_info,publisher,identifier_type,upload_id,access,publication_type,publication_subtype,keyword
2640.0,,"Sholihah, A.; Delrieu-Trottin, E.; Condamine, F.; Wowor, D.; Rüber, L.; Pouyaud, L.; Agnèse, J.; Hubert, N.",2021-02-05,2021.0,Impact of Pleistocene Eustatic Fluctuations on Evolutionary Dynamics in Southeast Asian Biodiversity Hotspots,Systematic Biology,70,5,940-960,Oxford University Press (OUP),doi,10.1093/sysbio/syab006,closed_access,artikel,peerrevartikel,"Genetics; Ecology, Evolution, Behavior and Systematics; Department: Center for Integrated Biodiversity Discovery"
2369.0,"Ruedas, T.; Wünnemann, K.","Grenfell, J.; Rauer, H.",2021-03-15,2021.0,Impact-atmosphere-interior interactions in terrestrial planets on different timescales,52nd Lunar and Planetary Science Conference 2021,,,2237,,internal-id,906632da-bc3b-4285-bb7f-66671b6e30db,open_access,konfpo,konferenzbeitragpaper,Department: Impact and Meteorite Research
2511.0,"Reddin, C.","Kocsis, Á.; Scotese, C.; Valdes, P.; Kiessling, W.",2021-08-17,2021.0,Increase in marine provinciality over the last 250 million years governed more by climate change than plate tectonics,Proceedings of the Royal Society B: Biological Sciences,288,1957,20211342,The Royal Society,doi,10.1098/rspb.2021.1342,closed_access,artikel,peerrevartikel,"General Agricultural and Biological Sciences; General Environmental Science; General Immunology and Microbiology; General Biochemistry, Genetics and Molecular Biology; General Medicine; Department: Diversity Dynamics"
2759.0,"Struck, U.","Wang, H.; Wang, D.; Wei, G.; Ling, H.; Wei, W.; Yao, S.; Cheng, C.; Li, J.; Sun, Y.; Wang, M.; Zhu, X.",2021-12-23,2021.0,Increases in marine environmental heterogeneity during the early animal innovations: Evidence from nitrogen isotopes in South China,Precambrian Research,369,,106501,Elsevier BV,doi,10.1016/j.precamres.2021.106501,closed_access,artikel,peerrevartikel,Geochemistry and Petrology; Geology; Department: Diversity Dynamics; Laboratory: Isotope laboratories
2654.0,"Luther, R.; Wünnemann, K.","Ormö, J.; Raducan, S.; Herreros, M.; Collins, G.; Jutzi, M.; Mora-Rueda, M.",2021-07-21,2021.0,Influence of Layering and Boulder Inclusions in a Granular Target on Crater Formation: Insight from Laboratory and Numerical Studies. &#160;,Europlanet Society Congress,,,,Copernicus GmbH,doi,10.5194/epsc2021-587,open_access,konfpo,konferenzbeitragpaper,"(<=2020) Department: Impact and Meteorite Research; Laboratory: Computer cluster; Department: Solar System, Impacts and Meteorites; Laboratory: Geochemical and microanalytical facilities"
2648.0,"Luther, R.; Wünnemann, K.","Ormö, J.; Raducan, S.; Herreros, I.; Collins, G.; Losiak, A.; Jutzi, M.; Mora-Rueda, M.",2021-03-15,2021.0,Influence of Target Heterogeneity on Crater Formation: Insight from Laboratory and Numerical Studies,Lunar and Planetary Science Conference,52,,"LPI Contribution No. 2548, id",,internal-id,b32933c7-1b94-404a-a389-3caec3426e69,open_access,konfpo,konferenzbeitragpaper,"(<=2020) Department: Impact and Meteorite Research; Department: Solar System, Impacts and Meteorites; Laboratory: Geochemical and microanalytical facilities; Laboratory: Computer cluster"
2658.0,"Güldemeister, N.; Wünnemann, K.; Luther, R.","Moreau, J.; Kohout, T.",2021-03-15,2021.0,Insight into the Distribution of High Pressure Shock Metamorphism in Rubble-Pile Asteroids,Lunar and Planetary Science Conference,52,,"LPI Contribution No. 2548, id.",,internal-id,61056478-2d73-464c-be63-372247a1319d,open_access,konfpo,konferenzbeitragpaper,"Department: Solar System, Impacts and Meteorites; (<=2020) Department: Impact and Meteorite Research; Laboratory: Computer cluster"
2580.0,,"Gurke, M.; Vidal-Gorosquieta, A.; Pajimans, J.; Wȩcek, K.; Barlow, A.; González-Fortes, G.; Hartmann, S.; Grandal-D’Anglade, A.; Hofreiter, M.",2021-04-28,2021.0,Insight into the introduction of domestic cattle and the process of Neolithization to the Spanish region Galicia by genetic evidence,PLOS ONE,,,e0249537,Public Library of Science (PLoS),doi,10.1371/journal.pone.0249537,open_access,artikel,peerrevartikel,Multidisciplinary; Department: Microevolution
2543.0,"Petersen, M.","Cremer, F.; Fräßdorf, M.; Neumann, J.; Pramann, B.; Schaffner, S.; Skowronek, T.; Töpfer, R.",2021-10-26,2021.0,Institutionelle Workflows zum Forschungsdatenmanagement. Bestandsaufnahme und Lösungsvorschläge aus der Leibniz-Gemeinschaft,Bausteine Forschungsdatenmanagement,2021,3,142-150,,doi,10.17192/bfdm.2021.3.8346,open_access,artikel,peerrevartikel,(<=2020) Department: Science Data Management; Department: Science Data Management and Informatics Infrastructure
2740.0,"Amson, E.","Alfieri, F.; Botton-Divet, L.; Nyakatura, J.",2021-12-15,2021.0,Integrative Approach Uncovers New Patterns of Ecomorphological Convergence in Slow Arboreal Xenarthrans,Journal of Mammalian Evolution,,,,Springer Science and Business Media LLC,doi,10.1007/s10914-021-09590-5,open_access,artikel,peerrevartikel,"Ecology, Evolution, Behavior and Systematics; Department: Evolutionary Morphology"
2593.0,"Rißberger, M.; Rumler, J.","Schuck, N.",2021-07-02,2021.0,Interview mit Nicole Schuck und Martina Rißberger: Zwischen Naturwissenschaft und Bildender Kunst – eine künstlerische Perspektive auf naturhistorische Medien,AKMB-news,27,1,59-64,AKMB,internal-id,39f66aad-18ed-4a33-9d9f-766a56fc078b,closed_access,artikel,wissartikel,(<=2020) Department: Science Data Management; Department: Information Supply and Information Management; Collection: Bibliothek
2362.0,,"Gentzmann, M.; Schraut, K.; Vogel, C.; Gäbler, H.; Huthwelker, T.; Adam, C.",2021-02-02,2021.0,Investigation of scandium in bauxite residues of different origin,Applied Geochemistry,126,,Article Number: 104898,Elsevier BV,doi,10.1016/j.apgeochem.2021.104898,closed_access,artikel,peerrevartikel,Geochemistry and Petrology; Pollution; Environmental Chemistry; Department: Impact and Meteorite Research; Laboratory: Geochemical and microanalytical facilities
